itemID	entityID
IRdXoGT7rx5IWzVd	1609
TxA8fSsJyolTz34h	2501
MVUn9ZfetIhDKbxt	1916
lbDOG8LHyc2JmZth	4843
s3czXM1hA3uKP62i	5812
zXMHUt57MEYgpgIz	6732
pgfFpGsMXdKjQUTJ	5426
JPzMRstcpmQH7eDE	1692
hdUqXqS2Knba87TM	4344
GGA6D4Z3SvRkS9Vl	1425
wbgQmVbFZzCvh969	6472
xUyTA40bXIP7vNSM	6574
roFsi9N4VAjwseCg	5754
8Wy4pf1Dzynub1QE	830
v7mB2vgTrlvO91S9	6334
QPGRWviyRYm9oBs5	2225
KEtHp38GbVRE2RZ2	1748
9EFwzkWp3hXIabXH	889
KNcRMNpD6vJ0d3Lc	1760
oRZYfgzxewAp6Rgl	5303
wYhqB0C7oSOooeqN	6466
aEcFnNI8lW2mAnfY	2996
pj4i2c5OmthxRh77	5437
2wAj6vUC6Ec8E14t	340
eycCpxDG3s2h8uqL	3918
O2tqGh3lB5MnoOkL	2044
RdEqOBWYDi2tEGbV	2321
YwzkfxIuawMJcmQd	2899
rpX3tXqABSEU2PnT	5784
FRTQ5RmzGCbYJ9qy	1346
BSTatK2qxwyAAud0	1055
95JTJ0v15q4e7u9o	875
cPbMyLwkcm6Xwqdn	3412
go6RTkPQjmMHvCDe	4215
Of5PrlH0oCK0XZk1	2086
l8XLDSuf05jUPb50	4798
FGGG6jcc4lqPTAYX	1329
o8Kd64YrM2oYnfdp	5279
qO7cHcP7KhU4MBBU	5583
wfqqGorkznI1BXQo	6488
2Q8zmpogg1fEUVgr	290
CmqHvJDU7qvDI1F8	1158
sIBjXprpRz150SLl	5832
TQkc9ZRVTRfbL81W	2458
robRRkWWSe2Od9pi	5757
GR2uTOMOzmHtj46o	1438
VEmWTrLvZHBqvi9F	2596
AA3PY1UXCqSt6Bsl	948
KNkk2UdyYeZTRMUB	1761
I7a870JsuBzL8l0J	1583
PLWa1Xz3YABvySWB	2150
eYEOLUDhX3rJmq5u	3804
HxOwbT12RAwGmesw	1574
QBGxad2tXIjeAZmP	2210
GGXhjEEWuleKmO0e	1426
