head	relation	tail
1	relation_100	4367
1	relation_100	4249
1	relation_100	4164
1	relation_100	6289
1	relation_100	3230
1	relation_100	3348
1	relation_100	3871
1	relation_100	5042
4	relation_100	5458
4	relation_100	4019
4	relation_100	5922
4	relation_100	5470
4	relation_100	5026
4	relation_100	4018
5	relation_100	3256
5	relation_100	5469
5	relation_100	89
5	relation_100	3075
5	relation_100	4492
5	relation_100	5458
5	relation_100	5002
5	relation_100	3079
5	relation_100	3858
5	relation_100	3859
6	relation_100	5759
6	relation_100	3478
6	relation_100	89
6	relation_100	218
6	relation_100	232
6	relation_100	5112
7	relation_100	5229
7	relation_100	3839
7	relation_100	4487
7	relation_100	3438
7	relation_100	6037
8	relation_100	3469
8	relation_100	3839
8	relation_100	4487
8	relation_100	217
8	relation_100	89
8	relation_100	3226
8	relation_100	6152
9	relation_100	5759
9	relation_100	3347
9	relation_100	3350
9	relation_100	3968
9	relation_100	218
9	relation_100	241
9	relation_100	246
10	relation_100	3839
10	relation_100	5963
10	relation_100	3697
10	relation_100	6009
10	relation_100	5753
10	relation_100	4035
10	relation_100	3224
10	relation_100	6186
10	relation_100	6287
10	relation_100	3124
10	relation_100	3082
10	relation_100	5472
11	relation_100	5458
11	relation_100	5479
11	relation_100	89
11	relation_100	218
11	relation_100	3274
11	relation_100	224
11	relation_100	241
11	relation_100	95
11	relation_100	244
12	relation_100	4487
12	relation_100	5759
12	relation_100	3347
12	relation_100	4494
12	relation_100	5490
12	relation_100	5910
13	relation_100	3465
13	relation_100	5943
13	relation_100	4035
13	relation_100	5960
13	relation_100	246
14	relation_100	5759
14	relation_100	5963
14	relation_100	4052
14	relation_100	4494
14	relation_100	3308
15	relation_100	6186
15	relation_100	5469
15	relation_100	3270
15	relation_100	3498
15	relation_100	3514
15	relation_100	3459
16	relation_100	3465
16	relation_100	3429
16	relation_100	4895
16	relation_100	4906
16	relation_100	6382
16	relation_100	5419
16	relation_100	6502
16	relation_100	4752
16	relation_100	5496
16	relation_100	4761
17	relation_100	4367
17	relation_100	4512
17	relation_100	3093
17	relation_100	4513
17	relation_100	3255
17	relation_100	3427
17	relation_100	89
17	relation_100	4895
17	relation_100	4896
18	relation_100	3833
18	relation_100	3334
18	relation_100	3237
18	relation_100	4863
18	relation_100	4366
19	relation_100	5753
19	relation_100	4665
19	relation_100	4909
19	relation_100	5420
19	relation_100	218
19	relation_100	247
20	relation_100	6028
20	relation_100	3898
20	relation_100	3894
20	relation_100	3883
20	relation_100	5512
20	relation_100	3897
20	relation_100	4881
21	relation_100	5458
21	relation_100	871
21	relation_100	3605
21	relation_100	6124
21	relation_100	125
21	relation_100	3339
21	relation_100	5973
21	relation_100	5868
22	relation_100	4367
22	relation_100	3858
22	relation_100	5702
22	relation_100	5856
22	relation_100	5442
22	relation_100	5489
23	relation_100	4487
23	relation_100	5759
23	relation_100	4492
23	relation_100	4494
23	relation_100	3433
24	relation_100	5458
24	relation_100	5759
24	relation_100	4492
24	relation_100	4179
24	relation_100	4326
24	relation_100	250
25	relation_100	3839
25	relation_100	4487
25	relation_100	5458
25	relation_100	4052
25	relation_100	3912
25	relation_100	4019
25	relation_100	3712
25	relation_100	3093
25	relation_100	4072
25	relation_100	4035
25	relation_100	3741
25	relation_100	4909
25	relation_100	6008
25	relation_100	4206
25	relation_100	5719
25	relation_100	231
26	relation_100	5963
26	relation_100	3347
26	relation_100	3429
26	relation_100	5634
26	relation_100	5625
26	relation_100	3969
26	relation_100	4046
26	relation_100	6008
26	relation_100	237
27	relation_100	3469
27	relation_100	3465
27	relation_100	6514
27	relation_100	348
27	relation_100	5728
27	relation_100	6515
27	relation_100	6016
27	relation_100	4104
27	relation_100	5931
27	relation_100	6285
27	relation_100	3842
27	relation_100	4036
27	relation_100	4387
27	relation_100	3977
27	relation_100	5120
28	relation_100	5458
28	relation_100	3129
28	relation_100	4665
28	relation_100	5002
28	relation_100	3231
28	relation_100	3325
28	relation_100	4761
28	relation_100	3324
28	relation_100	3274
28	relation_100	4759
28	relation_100	3132
28	relation_100	3133
28	relation_100	241
28	relation_100	4754
28	relation_100	4753
29	relation_100	3839
29	relation_100	3846
29	relation_100	4487
29	relation_100	5759
29	relation_100	3075
29	relation_100	6054
29	relation_100	3079
30	relation_100	4615
30	relation_100	3075
30	relation_100	4492
30	relation_100	4494
30	relation_100	3272
31	relation_100	4354
31	relation_100	5046
31	relation_100	5528
31	relation_100	5494
31	relation_100	5531
32	relation_100	5413
32	relation_100	5453
32	relation_100	6467
32	relation_100	6149
32	relation_100	6103
32	relation_100	250
33	relation_100	5458
33	relation_100	3075
33	relation_100	4019
33	relation_100	5470
33	relation_100	3079
34	relation_100	4487
34	relation_100	5759
